gene,description,apoptosis,cell_cycle,p53_signaling,immune_response,metabolism,DNA_repair,angiogenesis,inflammation,oxidative_stress,transcription_regulation
TP53,Tumor suppressor regulating cell cycle and apoptosis.,1,1,1,0,0,0,0,0,0,0
BCL2,Anti-apoptotic regulator; blocks mitochondrial outer membrane permeabilization.,1,0,0,0,0,0,0,0,0,0
CDKN1A,Cyclin-dependent kinase inhibitor (p21); mediates p53-dependent cell cycle arrest.,0,1,1,0,0,0,0,0,0,0
MYC,Oncogenic transcription factor driving proliferation and metabolism.,0,1,0,0,1,0,0,0,0,1
BRCA1,DNA repair and homologous recombination.,0,1,0,0,0,1,0,0,0,0
VEGFA,Vascular endothelial growth factor; promotes angiogenesis.,0,0,0,0,0,0,1,0,0,0
IL6,Pro-inflammatory cytokine.,0,0,0,1,0,0,0,1,0,0
SOD2,Mitochondrial antioxidant enzyme.,0,0,0,0,1,0,0,0,1,0
EGFR,Receptor tyrosine kinase; drives proliferation signaling.,0,1,0,0,0,0,0,0,0,1
PTEN,Tumor suppressor phosphatase antagonizing PI3K/AKT.,1,0,0,0,1,0,0,0,0,0
GENE_0010,Predicted function for GENE_0010 based on expression profile.,0,0,0,0,0,0,1,0,1,0
GENE_0011,Predicted function for GENE_0011 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0012,Predicted function for GENE_0012 based on expression profile.,0,0,0,0,1,0,0,0,0,0
GENE_0013,Predicted function for GENE_0013 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0014,Predicted function for GENE_0014 based on expression profile.,1,0,0,0,0,0,0,0,0,0
GENE_0015,Predicted function for GENE_0015 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0016,Predicted function for GENE_0016 based on expression profile.,1,0,0,0,0,0,0,0,1,0
GENE_0017,Predicted function for GENE_0017 based on expression profile.,0,0,1,0,0,0,0,0,1,0
GENE_0018,Predicted function for GENE_0018 based on expression profile.,1,0,0,0,0,0,0,1,0,0
GENE_0019,Predicted function for GENE_0019 based on expression profile.,1,0,0,0,0,0,0,0,0,0
GENE_0020,Predicted function for GENE_0020 based on expression profile.,0,0,0,0,0,1,0,0,0,1
GENE_0021,Predicted function for GENE_0021 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0022,Predicted function for GENE_0022 based on expression profile.,0,0,0,0,1,0,0,0,0,0
GENE_0023,Predicted function for GENE_0023 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0024,Predicted function for GENE_0024 based on expression profile.,0,0,0,0,0,1,0,0,1,0
GENE_0025,Predicted function for GENE_0025 based on expression profile.,1,0,0,0,0,0,1,0,0,0
GENE_0026,Predicted function for GENE_0026 based on expression profile.,0,0,0,0,0,1,0,1,0,0
GENE_0027,Predicted function for GENE_0027 based on expression profile.,0,0,0,1,0,0,0,0,0,0
GENE_0028,Predicted function for GENE_0028 based on expression profile.,0,0,0,0,0,0,1,0,0,0
GENE_0029,Predicted function for GENE_0029 based on expression profile.,0,0,1,0,0,0,0,0,0,1
GENE_0030,Predicted function for GENE_0030 based on expression profile.,0,0,0,1,0,0,1,0,0,0
GENE_0031,Predicted function for GENE_0031 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0032,Predicted function for GENE_0032 based on expression profile.,0,0,0,0,0,1,0,0,1,0
GENE_0033,Predicted function for GENE_0033 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0034,Predicted function for GENE_0034 based on expression profile.,0,0,0,0,0,0,0,0,1,1
GENE_0035,Predicted function for GENE_0035 based on expression profile.,0,0,0,0,1,0,0,0,1,0
GENE_0036,Predicted function for GENE_0036 based on expression profile.,0,0,0,1,0,0,0,0,0,0
GENE_0037,Predicted function for GENE_0037 based on expression profile.,0,0,0,0,1,0,0,0,0,1
GENE_0038,Predicted function for GENE_0038 based on expression profile.,0,1,0,0,0,0,0,0,0,1
GENE_0039,Predicted function for GENE_0039 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0040,Predicted function for GENE_0040 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0041,Predicted function for GENE_0041 based on expression profile.,0,0,0,0,0,0,1,0,0,0
GENE_0042,Predicted function for GENE_0042 based on expression profile.,0,1,0,0,0,0,0,0,0,0
GENE_0043,Predicted function for GENE_0043 based on expression profile.,0,0,1,0,0,0,0,0,0,0
GENE_0044,Predicted function for GENE_0044 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0045,Predicted function for GENE_0045 based on expression profile.,0,1,0,0,0,0,0,1,0,0
GENE_0046,Predicted function for GENE_0046 based on expression profile.,0,0,0,1,0,0,0,0,0,0
GENE_0047,Predicted function for GENE_0047 based on expression profile.,0,0,1,0,0,0,0,1,0,0
GENE_0048,Predicted function for GENE_0048 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0049,Predicted function for GENE_0049 based on expression profile.,0,0,0,0,0,1,0,1,0,0
GENE_0050,Predicted function for GENE_0050 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0051,Predicted function for GENE_0051 based on expression profile.,0,0,0,1,0,0,0,0,0,0
GENE_0052,Predicted function for GENE_0052 based on expression profile.,0,0,0,1,0,0,0,1,0,0
GENE_0053,Predicted function for GENE_0053 based on expression profile.,0,0,1,0,0,0,0,0,0,0
GENE_0054,Predicted function for GENE_0054 based on expression profile.,1,0,0,0,0,0,0,0,0,0
GENE_0055,Predicted function for GENE_0055 based on expression profile.,1,0,0,0,0,0,0,0,0,1
GENE_0056,Predicted function for GENE_0056 based on expression profile.,0,0,0,0,0,0,0,0,0,1
GENE_0057,Predicted function for GENE_0057 based on expression profile.,0,1,0,0,0,0,0,1,0,0
GENE_0058,Predicted function for GENE_0058 based on expression profile.,0,0,0,0,0,0,0,1,0,1
GENE_0059,Predicted function for GENE_0059 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0060,Predicted function for GENE_0060 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0061,Predicted function for GENE_0061 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0062,Predicted function for GENE_0062 based on expression profile.,0,0,0,1,0,1,0,0,0,0
GENE_0063,Predicted function for GENE_0063 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0064,Predicted function for GENE_0064 based on expression profile.,0,0,0,0,1,0,0,0,0,0
GENE_0065,Predicted function for GENE_0065 based on expression profile.,1,0,0,0,0,0,0,0,0,1
GENE_0066,Predicted function for GENE_0066 based on expression profile.,0,0,0,1,0,0,0,0,0,0
GENE_0067,Predicted function for GENE_0067 based on expression profile.,0,1,0,0,0,1,0,0,0,0
GENE_0068,Predicted function for GENE_0068 based on expression profile.,0,0,0,0,1,0,0,0,0,0
GENE_0069,Predicted function for GENE_0069 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0070,Predicted function for GENE_0070 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0071,Predicted function for GENE_0071 based on expression profile.,0,0,1,0,0,0,0,0,0,0
GENE_0072,Predicted function for GENE_0072 based on expression profile.,0,1,0,0,0,0,0,0,0,0
GENE_0073,Predicted function for GENE_0073 based on expression profile.,0,1,0,0,0,0,1,0,0,0
GENE_0074,Predicted function for GENE_0074 based on expression profile.,0,1,0,0,0,0,0,0,0,0
GENE_0075,Predicted function for GENE_0075 based on expression profile.,0,0,0,0,0,0,0,0,0,0
